customer_id,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,age
100,Male,80,General Manager,Financial Services,Mass Customer,Yes,4.0,50
101,Male,83,Nurse Practicioner,Manufacturing,High Net Worth,No,11.0,43
102,Male,51,Quality Control Specialist,Manufacturing,Affluent Customer,No,16.0,62
103,Female,49,Product Engineer,Financial Services,Affluent Customer,Yes,4.0,21
104,Female,40,Automation Specialist II,Health,Mass Customer,Yes,9.0,40
105,Female,25,Recruiting Manager,Manufacturing,Mass Customer,No,1.0,17
106,Male,54,Software Test Engineer III,Health,High Net Worth,Yes,18.0,52
107,Female,97,Nurse Practicioner,Financial Services,Mass Customer,Yes,9.0,28
108,Female,4,,,High Net Worth,No,3.0,24
109,Male,16,Marketing Assistant,,Affluent Customer,Yes,4.0,40
110,Male,23,,Financial Services,Affluent Customer,No,1.0,18
111,Female,65,Analyst Programmer,,Mass Customer,No,2.0,25
112,Female,88,Marketing Manager,Retail,High Net Worth,No,12.0,43
113,Male,67,Staff Scientist,,Mass Customer,No,20.0,62
114,Female,10,Teacher,Entertainment,Affluent Customer,No,8.0,33
115,Male,77,Account Executive,Health,Mass Customer,No,18.0,37
116,Male,49,Assistant Professor,Manufacturing,Affluent Customer,Yes,2.0,19
117,Female,75,Marketing Manager,Manufacturing,Mass Customer,No,15.0,36
118,Male,43,Budget/Accounting Analyst IV,,High Net Worth,No,19.0,59
119,Male,9,Associate Professor,,High Net Worth,Yes,9.0,37
120,Male,80,Legal Assistant,Financial Services,High Net Worth,Yes,4.0,40
121,Male,82,Graphic Designer,Manufacturing,Mass Customer,No,15.0,61
122,Male,87,Quality Control Specialist,Financial Services,Mass Customer,Yes,12.0,39
123,Female,85,Analyst Programmer,Financial Services,High Net Worth,No,15.0,30
124,Female,27,Administrative Assistant II,Health,High Net Worth,Yes,5.0,23
125,Female,94,Computer Systems Analyst II,Property,Mass Customer,No,16.0,58
126,Male,53,Administrative Officer,Health,Mass Customer,Yes,3.0,26
127,Female,81,Compensation Analyst,Financial Services,Mass Customer,No,19.0,44
128,Male,73,Systems Administrator III,Property,Mass Customer,Yes,12.0,41
129,Male,64,Financial Advisor,Financial Services,High Net Worth,Yes,19.0,33
130,Male,32,Chemical Engineer,Manufacturing,Mass Customer,No,1.0,21
131,Female,57,Administrative Officer,Retail,High Net Worth,No,8.0,54
132,Female,5,Web Designer I,Manufacturing,Mass Customer,Yes,9.0,55
133,Male,12,VP Accounting,Financial Services,Mass Customer,Yes,16.0,41
134,Female,34,Legal Assistant,Telecommunications,Affluent Customer,Yes,5.0,21
135,Female,18,Internal Auditor,IT,Mass Customer,No,3.0,43
136,Male,46,Senior Developer,Manufacturing,High Net Worth,Yes,7.0,45
137,Male,27,Office Assistant II,Property,High Net Worth,No,10.0,31
138,Male,5,Recruiter,Financial Services,Affluent Customer,Yes,13.0,33
139,Male,1,Operator,Telecommunications,Affluent Customer,No,4.0,54
140,Male,9,Programmer Analyst III,Manufacturing,Mass Customer,No,2.0,24
141,Male,67,Teacher,Financial Services,High Net Worth,Yes,10.0,64
142,Male,57,Quality Engineer,Health,Affluent Customer,No,17.0,51
143,Male,19,Operator,Argiculture,Mass Customer,Yes,11.0,61
145,Male,33,Account Executive,Financial Services,Mass Customer,No,4.0,21
146,Male,34,Quality Control Specialist,Manufacturing,Mass Customer,No,8.0,33
147,Female,32,Analog Circuit Design manager,Health,Mass Customer,Yes,10.0,45
148,Female,69,Programmer Analyst III,,Mass Customer,Yes,5.0,37
149,Female,41,Research Nurse,Health,Mass Customer,Yes,1.0,23
150,Male,6,Cost Accountant,Financial Services,Affluent Customer,No,17.0,35
151,Male,36,Marketing Manager,Manufacturing,Mass Customer,Yes,13.0,53
152,Female,5,Compensation Analyst,Financial Services,Mass Customer,No,16.0,37
153,Female,73,Assistant Media Planner,Entertainment,Mass Customer,Yes,12.0,41
154,Female,90,Junior Executive,,Mass Customer,No,11.0,60
155,Male,4,Quality Engineer,Manufacturing,Mass Customer,No,10.0,33
156,Female,23,Cost Accountant,Financial Services,Mass Customer,Yes,11.0,39
157,Male,97,Financial Advisor,Financial Services,Affluent Customer,No,16.0,44
158,Male,99,Internal Auditor,,Affluent Customer,No,5.0,34
159,Male,90,Research Nurse,Health,Affluent Customer,No,13.0,31
160,Male,5,Registered Nurse,Health,Mass Customer,No,18.0,54
161,Male,49,,,Mass Customer,No,16.0,42
162,Male,90,Nurse Practicioner,IT,Mass Customer,No,15.0,39
163,Female,58,Librarian,Entertainment,High Net Worth,Yes,14.0,42
164,Female,55,Senior Editor,Retail,Affluent Customer,Yes,1.0,19
165,Male,61,Administrative Officer,Argiculture,Mass Customer,Yes,12.0,34
166,Male,54,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6.0,63
167,Female,95,,Health,High Net Worth,Yes,17.0,49
169,Male,20,Data Coordiator,Telecommunications,High Net Worth,Yes,5.0,61
170,Male,80,Pharmacist,Health,High Net Worth,No,21.0,43
171,Female,62,Assistant Manager,Manufacturing,Mass Customer,No,10.0,48
172,Male,54,Editor,Manufacturing,Affluent Customer,Yes,6.0,30
173,Female,99,General Manager,Health,Affluent Customer,No,1.0,21
174,Female,93,Food Chemist,Health,Mass Customer,No,12.0,29
175,Male,36,Quality Engineer,Manufacturing,Affluent Customer,No,5.0,43
176,Male,39,Accountant I,Property,Mass Customer,No,10.0,26
177,Female,25,Professor,Financial Services,High Net Worth,No,4.0,29
178,Male,2,,,Affluent Customer,No,8.0,51
179,Male,23,Environmental Tech,Manufacturing,High Net Worth,Yes,6.0,52
180,Female,16,Web Designer III,Argiculture,Affluent Customer,No,14.0,47
181,Female,49,Senior Editor,Manufacturing,Mass Customer,No,9.0,36
182,Male,99,Sales Associate,Financial Services,Affluent Customer,Yes,7.0,26
183,Female,7,Geologist III,Retail,Affluent Customer,No,3.0,21
184,Male,40,Marketing Manager,Manufacturing,High Net Worth,Yes,7.0,47
185,Male,80,,Property,Mass Customer,Yes,13.0,39
186,Female,46,Software Test Engineer I,Financial Services,Mass Customer,No,3.0,44
187,Male,97,Structural Engineer,,Mass Customer,No,11.0,64
188,Female,54,Safety Technician II,Property,High Net Worth,Yes,13.0,43
189,Male,73,Safety Technician I,Financial Services,Affluent Customer,No,10.0,37
190,Female,42,Registered Nurse,Health,Affluent Customer,No,10.0,39
191,Male,22,Help Desk Operator,,Affluent Customer,Yes,6.0,58
192,Female,2,Junior Executive,Health,Mass Customer,Yes,8.0,40
193,Male,13,Recruiting Manager,Manufacturing,Mass Customer,Yes,12.0,54
194,Female,4,Web Developer III,Financial Services,Affluent Customer,No,10.0,44
195,Female,34,Project Manager,Manufacturing,Mass Customer,No,6.0,60
196,Male,90,Programmer Analyst II,Manufacturing,High Net Worth,No,6.0,52
197,Female,32,,,High Net Worth,No,5.0,41
198,Female,82,Assistant Media Planner,Entertainment,Mass Customer,No,16.0,37
199,Female,61,Junior Executive,Health,Mass Customer,Yes,21.0,40
200,Male,7,Physical Therapy Assistant,Property,Affluent Customer,Yes,19.0,61
201,Male,45,Design Engineer,Manufacturing,Mass Customer,Yes,11.0,52
202,Female,38,Librarian,Entertainment,Affluent Customer,Yes,16.0,55
203,Male,71,Senior Quality Engineer,Argiculture,Mass Customer,Yes,11.0,54
204,Male,56,Editor,Financial Services,Mass Customer,No,5.0,42
205,Male,18,Administrative Assistant II,Financial Services,Mass Customer,Yes,6.0,60
206,Female,98,Statistician I,,Mass Customer,Yes,14.0,64
207,Female,9,,,Mass Customer,No,7.0,24
208,Male,57,Office Assistant III,Property,High Net Worth,No,5.0,24
209,Male,9,Analog Circuit Design manager,,Affluent Customer,Yes,6.0,61
210,Male,50,Assistant Manager,Property,Mass Customer,No,18.0,55
211,Female,6,VP Marketing,Manufacturing,Mass Customer,Yes,5.0,44
212,Female,21,Desktop Support Technician,IT,Affluent Customer,No,1.0,17
213,Male,13,Actuary,Financial Services,High Net Worth,Yes,6.0,22
214,Male,82,Food Chemist,Health,Mass Customer,No,6.0,61
215,Female,37,Assistant Professor,Retail,High Net Worth,Yes,18.0,44
216,Female,12,Quality Engineer,Financial Services,High Net Worth,Yes,7.0,23
217,Female,63,,Manufacturing,High Net Worth,No,16.0,39
218,Female,37,Administrative Officer,Property,High Net Worth,Yes,8.0,25
219,Male,9,Database Administrator III,Health,Mass Customer,No,7.0,54
220,Female,79,Electrical Engineer,Manufacturing,High Net Worth,No,9.0,64
221,Female,14,Tax Accountant,Manufacturing,Mass Customer,No,14.0,38
222,Male,89,Clinical Specialist,Health,Mass Customer,No,16.0,40
223,Male,13,VP Sales,,Affluent Customer,Yes,14.0,35
224,Male,2,Compensation Analyst,Financial Services,Affluent Customer,No,17.0,51
225,Female,84,Pharmacist,Health,Affluent Customer,No,13.0,41
226,Male,96,Database Administrator IV,Manufacturing,Mass Customer,No,20.0,41
227,Male,99,Accountant I,Entertainment,Mass Customer,No,18.0,45
228,Female,59,Systems Administrator II,Manufacturing,High Net Worth,No,12.0,32
229,Male,30,,Property,High Net Worth,No,19.0,52
230,Female,74,Internal Auditor,Property,High Net Worth,No,11.0,64
231,Male,48,Design Engineer,Financial Services,Mass Customer,Yes,3.0,23
232,Female,94,Professor,Retail,Mass Customer,No,12.0,31
233,Male,34,Environmental Tech,Property,Mass Customer,No,13.0,32
234,Female,71,Chief Design Engineer,Retail,High Net Worth,No,12.0,49
235,Female,30,Social Worker,Health,Mass Customer,No,15.0,42
236,Male,79,Research Nurse,Health,Affluent Customer,No,14.0,64
237,Male,18,Account Coordinator,Property,High Net Worth,Yes,11.0,44
238,Male,54,Programmer III,,Mass Customer,Yes,14.0,34
239,Male,62,Registered Nurse,Health,Affluent Customer,No,3.0,26
240,Male,49,Administrative Assistant III,IT,High Net Worth,Yes,15.0,29
241,Male,94,Quality Engineer,Entertainment,Mass Customer,No,20.0,31
242,Male,17,Nurse,Property,Affluent Customer,No,8.0,26
243,Female,94,Teacher,Manufacturing,High Net Worth,Yes,14.0,42
244,Male,57,,Retail,Affluent Customer,No,8.0,44
245,Female,6,Associate Professor,Financial Services,Affluent Customer,No,1.0,17
246,Female,63,Technical Writer,Manufacturing,High Net Worth,No,9.0,27
247,Female,62,Staff Accountant II,Financial Services,High Net Worth,Yes,13.0,35
248,Female,76,Clinical Specialist,Health,Affluent Customer,Yes,12.0,40
249,Male,65,Quality Control Specialist,IT,High Net Worth,No,9.0,26
250,Male,53,Legal Assistant,Health,Mass Customer,Yes,13.0,30
251,Female,88,VP Sales,Financial Services,Affluent Customer,Yes,10.0,41
252,Female,39,Account Coordinator,Property,Mass Customer,Yes,13.0,35
253,Female,82,Food Chemist,Health,Mass Customer,Yes,1.0,21
254,Female,98,Information Systems Manager,Retail,Mass Customer,No,14.0,57
255,Female,2,Desktop Support Technician,IT,Mass Customer,No,5.0,64
256,Female,16,Director of Sales,Health,High Net Worth,Yes,21.0,43
257,Female,70,Sales Associate,Manufacturing,Affluent Customer,Yes,19.0,52
258,Female,24,Administrative Officer,Manufacturing,High Net Worth,No,9.0,26
259,Female,70,Senior Developer,Health,High Net Worth,Yes,3.0,35
260,Female,47,Senior Quality Engineer,Health,High Net Worth,Yes,22.0,39
261,Male,74,Structural Engineer,,Mass Customer,No,8.0,41
262,Male,97,,Health,High Net Worth,Yes,10.0,41
263,Female,89,Dental Hygienist,Health,High Net Worth,No,7.0,33
264,Male,31,Technical Writer,Health,Mass Customer,No,11.0,41
265,Male,74,Sales Representative,Retail,High Net Worth,Yes,18.0,53
266,Female,69,Account Executive,Retail,Affluent Customer,No,18.0,29
268,Female,60,Chemical Engineer,Manufacturing,Mass Customer,No,10.0,40
269,Male,55,Nurse Practicioner,Property,Mass Customer,Yes,9.0,64
270,Female,38,Budget/Accounting Analyst III,,Mass Customer,Yes,17.0,48
271,Female,51,Financial Advisor,Financial Services,Mass Customer,No,4.0,27
272,Female,22,Product Engineer,Retail,Mass Customer,Yes,1.0,31
273,Male,54,Computer Systems Analyst IV,,Mass Customer,No,19.0,55
274,Female,66,Social Worker,Health,Mass Customer,Yes,14.0,42
275,Male,7,VP Sales,Health,High Net Worth,No,13.0,63
276,Female,47,,Financial Services,Mass Customer,No,22.0,28
277,Female,69,VP Product Management,,High Net Worth,No,15.0,62
278,Male,22,Executive Secretary,,Affluent Customer,Yes,4.0,21
279,Female,0,Web Designer I,Manufacturing,Mass Customer,No,11.0,37
280,Male,15,Geologist I,,Affluent Customer,Yes,5.0,23
281,Female,51,Cost Accountant,Financial Services,High Net Worth,Yes,8.0,46
282,Male,82,VP Quality Control,Argiculture,High Net Worth,Yes,11.0,29
283,Female,34,Assistant Manager,Retail,Mass Customer,No,2.0,27
284,Male,38,Financial Analyst,Financial Services,High Net Worth,Yes,9.0,32
285,Female,3,Community Outreach Specialist,Manufacturing,Mass Customer,No,12.0,41
286,Male,99,Accounting Assistant II,Manufacturing,Affluent Customer,Yes,11.0,29
287,Female,41,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,4.0,33
288,Male,71,,Manufacturing,High Net Worth,No,9.0,33
289,Female,43,Clinical Specialist,Health,High Net Worth,No,10.0,48
291,Female,63,Assistant Media Planner,Entertainment,Mass Customer,No,4.0,47
292,Female,42,VP Product Management,,Affluent Customer,Yes,9.0,57
293,Male,80,Administrative Assistant III,Manufacturing,Mass Customer,Yes,20.0,29
294,Male,39,Recruiting Manager,,High Net Worth,No,5.0,59
295,Female,64,Database Administrator II,,Mass Customer,Yes,18.0,54
296,Male,34,,Health,High Net Worth,Yes,17.0,46
297,Female,33,Electrical Engineer,Manufacturing,High Net Worth,No,16.0,59
298,Male,69,Engineer I,Manufacturing,High Net Worth,No,9.0,62
299,Female,80,Budget/Accounting Analyst I,Financial Services,Mass Customer,Yes,7.0,62
300,Male,88,Clinical Specialist,Health,Mass Customer,No,9.0,62
301,Female,54,Developer IV,Manufacturing,High Net Worth,No,19.0,38
302,Female,32,,Health,Mass Customer,No,13.0,41
303,Female,59,Assistant Professor,Argiculture,Mass Customer,Yes,14.0,44
304,Male,36,VP Marketing,Manufacturing,Mass Customer,Yes,15.0,49
305,Female,1,Financial Analyst,Financial Services,Mass Customer,No,11.0,44
306,Male,19,Registered Nurse,Health,High Net Worth,No,18.0,45
307,Male,55,Clinical Specialist,Health,Affluent Customer,Yes,12.0,34
308,Male,2,Database Administrator I,IT,High Net Worth,No,4.0,35
309,Female,53,Clinical Specialist,Health,Mass Customer,Yes,21.0,44
310,Female,0,Account Coordinator,Financial Services,Mass Customer,Yes,18.0,33
311,Female,86,Internal Auditor,Health,High Net Worth,No,12.0,61
312,Male,44,Desktop Support Technician,Financial Services,Affluent Customer,Yes,6.0,60
313,Male,70,Operator,Manufacturing,Mass Customer,Yes,13.0,31
314,Female,27,Marketing Assistant,Retail,High Net Worth,Yes,5.0,56
315,Female,67,Chief Design Engineer,Manufacturing,Affluent Customer,No,12.0,60
316,Female,72,Environmental Specialist,Manufacturing,Mass Customer,Yes,10.0,42
317,Female,26,Automation Specialist II,Entertainment,Mass Customer,Yes,14.0,44
318,Female,21,Programmer III,Retail,Affluent Customer,Yes,18.0,49
319,Female,32,,Retail,Mass Customer,Yes,14.0,47
320,Male,19,Registered Nurse,Health,Mass Customer,No,4.0,21
321,Female,58,Marketing Manager,,Mass Customer,No,18.0,45
322,Female,19,Research Associate,Financial Services,Mass Customer,Yes,11.0,41
323,Female,54,Senior Developer,Health,Mass Customer,Yes,7.0,45
324,Male,97,Computer Systems Analyst I,IT,Mass Customer,Yes,15.0,32
325,Female,98,Computer Systems Analyst I,Financial Services,Affluent Customer,Yes,17.0,47
326,Female,74,Help Desk Operator,Financial Services,Mass Customer,No,6.0,38
327,Female,10,Design Engineer,Health,Mass Customer,No,12.0,50
328,Female,87,Senior Developer,Manufacturing,Mass Customer,No,12.0,27
329,Male,25,Account Representative IV,Entertainment,High Net Worth,Yes,12.0,34
330,Male,78,Recruiting Manager,Manufacturing,High Net Worth,Yes,7.0,59
331,Male,87,Desktop Support Technician,Health,Mass Customer,Yes,3.0,20
332,Female,23,Registered Nurse,Health,High Net Worth,No,14.0,40
333,Female,25,Sales Associate,Financial Services,Affluent Customer,Yes,8.0,53
334,Female,71,Financial Advisor,Financial Services,Affluent Customer,Yes,3.0,19
335,Female,20,Senior Editor,,Affluent Customer,No,8.0,35
336,Female,91,,Manufacturing,High Net Worth,No,3.0,38
337,Female,67,Statistician IV,Argiculture,High Net Worth,Yes,12.0,39
338,Female,33,,Health,Mass Customer,No,19.0,60
339,Female,56,Human Resources Manager,Health,Mass Customer,No,12.0,38
340,Male,39,,Argiculture,Mass Customer,Yes,17.0,45
341,Male,10,GIS Technical Architect,Financial Services,Mass Customer,No,5.0,42
342,Male,40,Programmer IV,Health,High Net Worth,No,2.0,31
343,Female,76,Recruiter,Property,Affluent Customer,No,13.0,61
344,Female,91,,,High Net Worth,Yes,4.0,45
345,Female,74,Senior Sales Associate,Health,High Net Worth,Yes,17.0,29
346,Male,68,Financial Analyst,Financial Services,Mass Customer,No,3.0,37
347,Male,50,Marketing Manager,Financial Services,Mass Customer,No,9.0,53
348,Male,20,Assistant Professor,Retail,Mass Customer,Yes,9.0,38
349,Female,35,Computer Systems Analyst IV,Manufacturing,High Net Worth,No,4.0,37
350,Female,47,Clinical Specialist,Health,Mass Customer,Yes,9.0,41
351,Male,69,Pharmacist,Health,Mass Customer,Yes,2.0,19
352,Male,12,Sales Representative,Retail,Mass Customer,No,4.0,39
353,Female,9,Information Systems Manager,,Mass Customer,No,3.0,38
354,Female,87,Legal Assistant,Property,Mass Customer,No,9.0,38
355,Female,97,Database Administrator II,Retail,Mass Customer,Yes,3.0,39
356,Female,10,Librarian,Entertainment,High Net Worth,No,5.0,43
357,Female,21,Director of Sales,,Affluent Customer,No,18.0,49
358,Female,54,Accounting Assistant IV,,Mass Customer,No,18.0,33
359,Female,2,Legal Assistant,Manufacturing,Affluent Customer,Yes,6.0,60
360,Female,64,Staff Scientist,Property,Mass Customer,Yes,19.0,62
361,Female,59,Software Engineer IV,Health,Mass Customer,Yes,2.0,19
362,Female,47,Software Engineer IV,Financial Services,High Net Worth,Yes,18.0,44
363,Female,82,Project Manager,Retail,Mass Customer,Yes,7.0,30
364,Female,96,Database Administrator III,Financial Services,Affluent Customer,No,11.0,42
365,Female,98,VP Quality Control,Property,High Net Worth,No,15.0,42
366,Female,7,Librarian,Entertainment,High Net Worth,No,19.0,64
367,Female,93,Programmer II,Manufacturing,Mass Customer,Yes,12.0,33
368,Female,32,,Financial Services,High Net Worth,No,6.0,32
369,Male,19,Actuary,Financial Services,Mass Customer,Yes,9.0,27
370,Male,91,,Telecommunications,Affluent Customer,Yes,3.0,20
371,Male,7,Systems Administrator III,Financial Services,Mass Customer,No,7.0,64
372,Female,19,Graphic Designer,Property,Affluent Customer,Yes,4.0,31
373,Female,95,Structural Analysis Engineer,Health,High Net Worth,Yes,1.0,18
374,Male,81,Senior Financial Analyst,Financial Services,Mass Customer,Yes,8.0,26
375,Male,13,Automation Specialist II,Manufacturing,Mass Customer,Yes,7.0,42
376,Female,60,Financial Advisor,Financial Services,Mass Customer,Yes,19.0,52
377,Male,65,Staff Scientist,Argiculture,Mass Customer,No,1.0,19
378,Female,98,Senior Developer,Retail,Mass Customer,No,17.0,44
379,Male,2,,Manufacturing,High Net Worth,Yes,4.0,38
380,Female,66,Structural Engineer,Property,Mass Customer,No,17.0,62
381,Female,99,Sales Associate,,Affluent Customer,No,1.0,22
382,Male,68,Research Nurse,Health,Mass Customer,Yes,7.0,33
383,Male,37,Nurse Practicioner,,Affluent Customer,No,14.0,40
384,Female,70,,Financial Services,Affluent Customer,No,17.0,42
385,Male,69,Project Manager,Health,High Net Worth,No,9.0,52
386,Female,63,Senior Quality Engineer,Argiculture,Mass Customer,No,5.0,28
387,Male,34,Administrative Officer,Financial Services,Mass Customer,No,22.0,41
388,Female,53,,Financial Services,Mass Customer,Yes,11.0,52
389,Female,97,Help Desk Operator,Entertainment,Affluent Customer,Yes,17.0,43
390,Male,83,Programmer Analyst II,Health,Affluent Customer,No,3.0,21
391,Male,80,,Argiculture,Mass Customer,No,16.0,48
392,Male,38,Safety Technician I,Property,Mass Customer,No,13.0,40
393,Male,35,Associate Professor,Manufacturing,Mass Customer,Yes,9.0,63
394,Female,70,Legal Assistant,Health,High Net Worth,Yes,16.0,41
395,Male,28,Data Coordiator,Retail,High Net Worth,Yes,9.0,42
396,Female,98,Systems Administrator III,Telecommunications,High Net Worth,Yes,16.0,51
397,Female,86,Paralegal,Financial Services,Affluent Customer,Yes,5.0,37
398,Female,20,,Retail,Affluent Customer,No,11.0,49
399,Male,26,Engineer III,Manufacturing,Affluent Customer,Yes,16.0,42
400,Female,86,Financial Analyst,Financial Services,Mass Customer,No,5.0,56
401,Female,56,Assistant Professor,Retail,Mass Customer,No,15.0,32
